=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-10 12:45:28,018 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:28,024 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2030, 'pattern_bars': 40600, 'pattern_features': 0, 'forward_labels': 10150}
2026-07-10 12:45:28,038 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:28,044 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2031, 'pattern_bars': 40620, 'pattern_features': 0, 'forward_labels': 10155}
2026-07-10 12:45:28,066 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:28,072 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2032, 'pattern_bars': 40640, 'pattern_features': 0, 'forward_labels': 10160}
2026-07-10 12:45:28,085 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:28,091 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2033, 'pattern_bars': 40660, 'pattern_features': 0, 'forward_labels': 10165}
2026-07-10 12:45:28,107 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 12:45:28,112 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 82, 'source_files': 82, 'feature_sets': 1, 'pattern_instances': 2034, 'pattern_bars': 40680, 'pattern_features': 0, 'forward_labels': 10170}
2026-07-10 12:45:28,126 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
