=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 17:48:40,518 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,522 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 734, 'pattern_bars': 14680, 'pattern_features': 0, 'forward_labels': 3670}
2026-07-09 17:48:40,530 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,533 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 735, 'pattern_bars': 14700, 'pattern_features': 0, 'forward_labels': 3675}
2026-07-09 17:48:40,543 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,546 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 736, 'pattern_bars': 14720, 'pattern_features': 0, 'forward_labels': 3680}
2026-07-09 17:48:40,555 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,558 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 737, 'pattern_bars': 14740, 'pattern_features': 0, 'forward_labels': 3685}
2026-07-09 17:48:40,567 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 17:48:40,570 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 31, 'source_files': 31, 'feature_sets': 1, 'pattern_instances': 738, 'pattern_bars': 14760, 'pattern_features': 0, 'forward_labels': 3690}
