=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-09 18:32:59,201 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,205 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1387, 'pattern_bars': 27740, 'pattern_features': 0, 'forward_labels': 6935}
2026-07-09 18:32:59,215 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,220 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1388, 'pattern_bars': 27760, 'pattern_features': 0, 'forward_labels': 6940}
2026-07-09 18:32:59,231 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,235 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1389, 'pattern_bars': 27780, 'pattern_features': 0, 'forward_labels': 6945}
2026-07-09 18:32:59,245 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,250 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1390, 'pattern_bars': 27800, 'pattern_features': 0, 'forward_labels': 6950}
2026-07-09 18:32:59,262 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-09 18:32:59,266 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 57, 'source_files': 57, 'feature_sets': 1, 'pattern_instances': 1391, 'pattern_bars': 27820, 'pattern_features': 0, 'forward_labels': 6955}
