=======================================================================
       P_300 BULK PATTERN EXTRACTION -- PIPELINE A-BULK
=======================================================================

Scans data\bulk\ for unprocessed *_Pattern_*.xlsx exports and writes
detections to models\research\bulk_research.db. Never touches the
live catalog or Pipeline A/B. Checkpoint-resumable -- safe to
interrupt and re-run.

[STEP 1] Running bulk-extract...

2026-07-10 09:04:15,808 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,817 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1485, 'pattern_bars': 29700, 'pattern_features': 0, 'forward_labels': 7425}
2026-07-10 09:04:15,838 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,847 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1486, 'pattern_bars': 29720, 'pattern_features': 0, 'forward_labels': 7430}
2026-07-10 09:04:15,864 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,872 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1487, 'pattern_bars': 29740, 'pattern_features': 0, 'forward_labels': 7435}
2026-07-10 09:04:15,899 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,908 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1488, 'pattern_bars': 29760, 'pattern_features': 0, 'forward_labels': 7440}
2026-07-10 09:04:15,926 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,935 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1489, 'pattern_bars': 29780, 'pattern_features': 0, 'forward_labels': 7445}
2026-07-10 09:04:15,951 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,959 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1490, 'pattern_bars': 29800, 'pattern_features': 0, 'forward_labels': 7450}
2026-07-10 09:04:15,977 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:15,986 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1491, 'pattern_bars': 29820, 'pattern_features': 0, 'forward_labels': 7455}
2026-07-10 09:04:16,006 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:16,013 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1492, 'pattern_bars': 29840, 'pattern_features': 0, 'forward_labels': 7460}
2026-07-10 09:04:16,030 | INFO | infrastructure.research_catalog_io | Promoted temp -> research master. master=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db backup=C:\Users\Trader\AI-Agent-Learning-Hub\projects\P_300_Vantage_Point_Pattern_Recognition\models\research\bulk_research.db.bak
2026-07-10 09:04:16,037 | INFO | infrastructure.research_catalog_io | research_catalog_checkout: {'symbols': 61, 'source_files': 61, 'feature_sets': 1, 'pattern_instances': 1493, 'pattern_bars': 29860, 'pattern_features': 0, 'forward_labels': 7465}
